,DATE,LOC,PER,ORG
bam,,0.9798638820648193,,0.9657509922981262
bbj,,0.9583361148834229,,0.9851967096328735
ewe,,,0.9862217903137207,0.9819616079330444
fon,,0.9770311117172241,0.9837803840637207,0.982354998588562
hau,,,0.9872117042541504,0.9731397032737732
ibo,,0.9598907828330994,,0.9784371256828308
kin,,0.9196723699569702,,0.9686453938484192
lug,,,0.9807737469673157,0.969597578048706
luo,,,0.9667512774467468,0.9678121209144592
mos,,,0.9763440489768982,0.9846672415733337
nya,,0.9776583909988403,,0.9802904725074768
pcm,,0.9780977368354797,0.9776927828788757,
sna,,0.9743670225143433,0.9789205193519592,
swa,,0.9748892784118652,0.9882798194885254,
tsn,,0.9744793176651001,,0.9832123517990112
twi,,0.9654077887535095,0.9893231391906738,0.9880287051200867
wol,,0.967498779296875,,0.9779946208000183
xho,,0.9720765352249146,0.9691345691680908,
yor,,0.9399163722991943,,0.9800836443901062
zul,,0.9687926769256592,,
